Location,Bedrooms,Bathrooms,Amenities,Price
"Brookside, Westlands",1,1,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Wheelchair Access']"," 170,000
 / mont"
"rivers, riverside, Riverside, Westlands",4,4,"['Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 115,000
 / mont"
"Ring Road, Parklands, Westlands",,,"['Aircon', 'CCTV', 'Electric Fence', 'Lift/Elevator', 'Parking']"," 642,460
 / mont"
Kilimani,2,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Riverside, Westlands",4,,"['Backup Generator', 'Balcony', 'Gym', 'Kids Play Area', 'Swimming Pool', 'Walk In Closet']"," 220,000
 / mont"
"Riverside, Westlands",5,,"['Backup Generator', 'Furnished', 'Gated Community', 'Kids Play Area']"," 250,000
 / mont"
Kilimani,3,3,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 120,000
 / mont"
Lavington,3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 130,000
 / mont"
"Mbaazi avenue, Lavington",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gated Community', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 130,000
 / mont"
Kileleshwa,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
Kileleshwa,4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 170,000
 / mont"
"Westlands Area, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 380,000
 / mont"
"Kitisuru Road, Kitisuru, Westlands",3,2,[]," 450,000
 / mont"
"Parklands, Westlands",3,3,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Gym', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Old Muthaiga, Muthaiga",4,4,"['Balcony', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 400,000
 / mont"
"Silanga road, O, Karen",4,4,"['Balcony', 'En Suite', 'Furnished', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 300,000
 / mont"
"Runda, O, Westlands",4,4,"['En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Thigiri drive, Thigiri, Westlands",7,8,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Staff Quarters']"," 700,000
 / mont"
"Runda mumwe, Runda, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 400,000
 / mont"
"Near shopping centre, Lavington",5,6,"['Balcony', 'CCTV', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Kaputei, Kileleshwa",5,5,"['Balcony', 'Borehole', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Karen Road, Karen",,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Gated Community', 'Parking']"," 120
 / mont"
Karen,,,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Wheelchair Access']"," 110
 / mont"
Kiambu Road,3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 75,000
 / mont"
"Lakeview estate, Lake View, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"4th Avenue, Upper Hill",,,"['Aircon', 'Backup Generator', 'CCTV', 'Electric Fence', 'Garden', 'Lift/Elevator', 'Parking']"," 340,000
 / mont"
"6th Avenue Parklands, Parklands, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 300,000
 / mont"
"Hillcrest Rd, O, Karen",4,4,"['Balcony', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Runda, Westlands",4,4,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"Runda, Westlands",4,4,"['Balcony', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 465,000
 / mont"
"kileleshwa, Kileleshwa",2,2,"['Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 65,000
 / mont"
"Rhapta, 027, Waiyaki Way, Westlands",3,3,"['Alarm', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 145,000
 / mont"
"Peponi, 012, Spring Valley, Westlands",4,4,"['Alarm', 'Electric Fence', 'En Suite', 'Furnished', 'Garden', 'Parking', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"Off Bogani Road, Karen",6,6,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Muteero Road, Karen",5,5,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"Mandela Road, Kileleshwa",5,5,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 530,000
 / mont"
"Brookside, Westlands",3,3,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 175,000
 / mont"
"Nyari, Westlands",5,5,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 450,000
 / mont"
"Westlands Area, Westlands",3,,['En Suite']," 150,000
 / mont"
"Rhapta Road, Westlands",2,,"['Backup Generator', 'Furnished', 'Lift/Elevator']"," 200,000
 / mont"
"Miotoni, Karen",4,4,"['En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Swimming Pool']"," 350,000
 / mont"
"kileleshwa, Kileleshwa",3,2,"['Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 85,000
 / mont"
"kitisuru, Kitisuru, Westlands",5,5,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 650,000
 / mont"
"Parklands, Westlands",4,,"['Backup Generator', 'Balcony', 'Garden']"," 150,000
 / mont"
"Kitisuru, Westlands",2,,['Balcony']," 80,000
 / mont"
"Kitisuru, Westlands",3,,"['Balcony', 'Garden', 'Scenic View']"," 415,000
 / mont"
Muthaiga,3,,['Garden']," 460,000
 / mont"
"Westlands Area, Westlands",3,2,"['Balcony', 'En Suite', 'Garden', 'Parking']"," 155,000
 / mont"
Thika Road,3,,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Staff Quarters', 'Swimming Pool']"," 230,000
 / mont"
Thika Road,4,,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Swimming Pool']"," 190,000
 / mont"
"Ridgeways, O",5,5,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 250,000
 / mont"
Karen,4,,"['Garden', 'Scenic View', 'Swimming Pool']"," 350,000
 / mont"
Karen,5,,"['Furnished', 'Garden', 'Staff Quarters', 'Swimming Pool']"," 340,000
 / mont"
Kileleshwa,3,,"['Backup Generator', 'Balcony', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 100,000
 / mont"
Kileleshwa,5,,"['Backup Generator', 'Balcony', 'CCTV', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 350,000
 / mont"
Kileleshwa,3,,"['Backup Generator', 'Balcony', 'CCTV', 'Furnished', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 280,000
 / mont"
Karen,3,,"['Backup Generator', 'Furnished', 'Garden', 'Service Charge Included']"," 180,000
 / mont"
"Westlands Area, Westlands",1,,"['Backup Generator', 'Fibre Internet', 'Furnished', 'Garden', 'Swimming Pool']"," 140,000
 / mont"
"Westlands Area, Westlands",1,,"['Balcony', 'Furnished', 'Swimming Pool']"," 140,000
 / mont"
"Westlands Area, Westlands",1,,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 156,000
 / mont"
"Westlands Area, Westlands",3,,"['Backup Generator', 'Balcony', 'Gym', 'Lift/Elevator', 'Swimming Pool']"," 155,000
 / mont"
"Westlands Area, Westlands",2,,"['Backup Generator', 'Balcony', 'Borehole', 'Garden', 'Kids Play Area', 'Lift/Elevator', 'Swimming Pool']"," 200,000
 / mont"
"Mumwe, Runda, Westlands",5,5,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"Westlands Area, Westlands",2,1,"['Balcony', 'Parking']"," 85,000
 / mont"
Thika Road,3,2,"['Balcony', 'En Suite', 'Parking']"," 70,000
 / mont"
"Riverside, Westlands",3,4,"['Balcony', 'En Suite', 'Parking']"," 350,000
 / mont"
"Westlands Area, Westlands",2,2,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 230,000
 / mont"
"Parklands, Westlands",3,3,"['Balcony', 'En Suite', 'Garden', 'Swimming Pool']"," 250,000
 / mont"
Lavington,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 260,000
 / mont"
"Kitisuru, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 500,000
 / mont"
Kileleshwa,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 85,000
 / mont"
"Riverside, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 140,000
 / mont"
Kileleshwa,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
Muthaiga,4,4,"['Balcony', 'En Suite', 'Garden', 'Parking']"," 527,303
 / mont"
"Lower Kabete, Westlands",5,4,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Swimming Pool']"," 725,047
 / mont"
Kilimani,3,,"['Backup Generator', 'Balcony', 'Furnished', 'Gym', 'Swimming Pool']"," 260,000
 / mont"
Kilimani,1,,"['Backup Generator', 'Balcony', 'Borehole', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Swimming Pool']"," 200,000
 / mont"
Kilimani,3,,"['Backup Generator', 'Balcony', 'Furnished', 'Gym', 'Swimming Pool']"," 230,000
 / mont"
Kilimani,2,,"['Backup Generator', 'Balcony', 'Furnished', 'Gym', 'Swimming Pool']"," 180,000
 / mont"
Kilimani,2,,"['Backup Generator', 'Balcony', 'Furnished', 'Gym', 'Swimming Pool']"," 200,000
 / mont"
Kilimani,3,,"['Balcony', 'Furnished', 'Gym', 'Swimming Pool']"," 230,000
 / mont"
Upper Hill,3,,"['Backup Generator', 'Balcony', 'Furnished', 'Gym', 'Serviced', 'Swimming Pool']"," 230,000
 / mont"
Lavington,1,,"['Balcony', 'Gym', 'Scenic View', 'Swimming Pool']"," 140,000
 / mont"
"Convent Drive, Lavington",5,5,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters']"," 350,000
 / mont"
"Kabarsarian, Lavington",7,6,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool']"," 650,000
 / mont"
Kiambu Road,2,2,"['Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Pet Friendly', 'School', 'Shopping Centre', 'Swimming Pool']"," 90,000
 / mont"
"Westlands Area, Westlands",1,,"['Backup Generator', 'Balcony', 'CCTV', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 110,000
 / mont"
"Lower kabete, Lower Kabete, Westlands",9,8,"['En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 800,000
 / mont"
"Runda, Westlands",4,4,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 460,000
 / mont"
"Miotoni, O, Karen",5,5,"['Balcony', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"Rosslyn, O, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 800,000
 / mont"
"Rosslyn, O, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 800,000
 / mont"
Lavington,2,2,"['Balcony', 'En Suite', 'Furnished', 'Garden', 'Parking']"," 260,000
 / mont"
Lavington,2,2,"['Balcony', 'En Suite', 'Furnished', 'Garden']"," 220,000
 / mont"
"Kyuna, Westlands",7,6,"['Balcony', 'En Suite', 'Garden', 'Parking']"," 796,059
 / mont"
Kilimani,2,2,"['Balcony', 'En Suite']"," 150,000
 / mont"
Kileleshwa,3,3,"['Balcony', 'En Suite', 'Parking']"," 125,000
 / mont"
Kiambu Road,4,5,"['Balcony', 'En Suite', 'Garden', 'Parking']"," 100,000
 / mont"
"Riverside, Westlands",1,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Furnished', 'Parking', 'Service Charge Included', 'Serviced']"," 170,000
 / mont"
"Rosslyn, Westlands",2,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Furnished', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 270,000
 / mont"
"General Mathenge, Westlands",3,,"['Backup Generator', 'Balcony', 'CCTV', 'Parking', 'Service Charge Included', 'Serviced']"," 140,000
 / mont"
"Racecourse, Kilimani",,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 65,000
 / mont"
Kileleshwa,4,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Loresho, Westlands",4,5,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
Kileleshwa,3,3,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included']"," 85,000
 / mont"
"Lavington green, Maziwa, Lavington",5,5,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
Kilimani,2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Wheelchair Access']"," 220,000
 / mont"
"Off Glory rd, 4, Runda, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Garden Estate, Roysambu",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 280,000
 / mont"
"kitisuru, 01, Kitisuru, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 80,000
 / mont"
"Lakeview, Lake View, Westlands",4,4,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 500,000
 / mont"
Kileleshwa,2,2,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking']"," 85,000
 / mont"
"General Mathenge, Westlands",3,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 531,000
 / mont"
Lavington,5,6,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
Buruburu,,1,"['Balcony', 'CCTV', 'Gated Community', 'Kids Play Area', 'Parking', 'Pet Friendly', 'Service Charge Included']"," 18,000
 / mont"
"Spring Valley, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
Kileleshwa,2,2,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 80,000
 / mont"
Karen,,,"['Garden', 'Parking', 'Pet Friendly', 'Service Charge Included']"," 500,000
 / mont"
"Highridge, Parklands, Diamond Plaza, Westlands",,,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Lift/Elevator', 'Parking']"," 3,000,000
 / mont"
Lavington,4,,"['BBQ', 'Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Walk In Closet', 'Wheelchair Access']"," 380,000
 / mont"
Lavington,5,,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 330,000
 / mont"
Kileleshwa,4,4,"['Balcony', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 380,000
 / mont"
"Convent Road, Lavington",4,5,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters']"," 280,000
 / mont"
"Windy Ridge, Karen",2,2,"['En Suite', 'Furnished', 'Garden', 'Gated Community', 'Service Charge Included']"," 150,000
 / mont"
Kileleshwa,3,,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 130,000
 / mont"
"Muthaiga North, O, Muthaiga",4,4,"['Alarm', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Runda, O, Westlands",5,5,"['Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Loresho, O, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 550,000
 / mont"
"Kilimani, O",4,4,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 200,000
 / mont"
"Lavington, O",5,5,"['Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
